"10A075N,M,I,B,slezská";"<sp num=00 prekryv=ne>  ňáký . jo už je na internetu prostě dopis .";"Paroubka";"svým straníkům jako a --- ..   no a --- prostě"
"08A077N,Z,I,B,jihozápadočeská";"dnes Bush ho pozval na tradiční návštěvu ..   aha ..";"Topolánek";"stát musí mít krizový scénář pro ekonomiku ..   to bych"
"10A023N,M,I,A,středočeská";"škody že jo takový to jak .   dycky dyž vidím";"Paroubek";"jako zajistím vám důchody ty vole .  </sp><sp num=01 prekryv=ne>  hmm  </sp><sp num=03 prekryv=ano>  (smích)  </sp><sp num=01 prekryv=ano>  ne"
"10H057N,M,I,A,středomoravská";"?   ódéeska má ...  </sp><sp num=02 prekryv=ne>  jo  </sp><sp num=01 prekryv=ne>  ... s Paroubkem prostě te*";"Paroubkův";"ksicht a má tam já nevím je čas odejít a"
"10H057N,M,I,A,středomoravská";"na Paroubka jo ?   tam je třeba   že baví se";"Paroubek";"s Kalouskem po tom po po volbách   jo ?   a"
"09A222N,M,V,B,pohraničí moravské";"ty si stěžuješ ? ..   já říkám já dybysem byl";"Paroubkem";".   tak vám ty invalidní důchody seberu   (smích)   řiká ."
"10H017N,M,I,A,středomoravská";"taková zhrzená milenka nebo prostě chápeš  </sp><sp num=01 prekryv=ne>  no ale nepřeběhnou k";"Paroubkovi";". do koalice nebo něco  </sp><sp num=02 prekryv=ne>  to asi ne  </sp><sp num=01 prekryv=ne>  no tak"
"08H007N,Z,I,A,severovýchodočeská";"dycky dyž ty zprávy vidim   tak tam *c je furt";"Paroubek";"a tak to  </sp><sp num=00 prekryv=ano>  mně je z toho blbě  </sp><sp num=01 prekryv=ano>  no jo  </sp>"
"10A023N,M,I,A,jihozápadočeská";"zachoval já .   já sem se prostě zachoval jako ten";"Paroubek";".   já sem mu říkal já na to nemam ale"
"10A046N,M,I,A,východomoravská";"ohradím .   že to je Paroubkova země .   ty volíš";"Paroubka";"dyž bude vládnout zemi ? .  </sp><sp num=00 prekryv=ne>  no jistě že ne"
"09A125N,Z,V,B,středočeská";"poplatků   voni vlastně vyhráli ty volby .   a schodili toho";"Paroubka";". jak schodili toho . Topolánka  </sp><sp num=00 prekryv=ano>  hmm .  </sp><sp num=01 prekryv=ano>  jo .  </sp>"
"09A125N,Z,V,B,středočeská";"--- dost jako umí .. nabudit ..   (četba z novin)   prostě ten";"Paroubek";"--- . je prase ten tam vůbec nepatří je to"
"10A056N,M,V,B,slezská";"utopence zase  </sp><sp num=01 prekryv=ne>  Kostelecke ---  </sp><sp num=02 prekryv=ne>  jo to sou ty od toho";"Paroubka";"jo .  </sp><sp num=01 prekryv=ne>  ty přestaň --- co máš pořád s Paroubkem"
"08A054N,M,V,B,středočeská";"to nechaj doběhnout .  </sp><sp num=01 prekryv=ne>  nechá to doběhnout z praktických důvodů";"Paroubek";"to nechá doběhnout ..   Nicolas . Sarkozy to také nechá"
"08A054N,M,V,B,středočeská";"ale nechá to proběhnout celej ten . nechá toho .";"Topolánka";"což .   Topolánkovi se nedá . dá se mu vytknout"
"10H057N,M,I,A,středomoravská";"?   to si to budem muset asi ňák rozdělit   a";"Paroubek";"říká no . to jo no .   řiká no lidem"
"09A228N,Z,V,A,východomoravská";"to teďka vyloženě vyčtl .   že ho tam prorvali .  </sp><sp num=03 prekryv=ne>";"Topolánek";"je nervák .  </sp><sp num=01 prekryv=ne>  ale sú to šecko šulíni   t* to"
"08A002N,Z,I,B,středočeská";"ne tak to ..  </sp><sp num=00 prekryv=ne>  mysíš že má Topolánek to byl";"Paroubek";"vlasně viď ?  </sp><sp num=01 prekryv=ne>  no  </sp><sp num=00 prekryv=ne>  mysíš že má Paroubek prorockou řeč"
"10A044N,M,V,B,pohraničí české";"(smích) ty to je dobrá hláška viď ? .   no";"Paroubkovi";"to myslí jak Američanovi . prostě je uplně blbej .."
"08A021N,M,I,A,středočeská";"Rath populis* eee *mus  </sp><sp num=02 prekryv=ne>  přesně populista jo   no   to samý";"Paroubek";"že  </sp><sp num=02 prekryv=ano>  že nehleděj na to jak . jak jako by"
"08M006N,M,I,B,středočeská";"viděl . myšlenky   že bys viděl myšlenky . třeba .";"Paroubka";"jo ? nebo  </sp><sp num=01 prekryv=ano>  nebo ...:  </sp><sp num=02 prekryv=ano>  ale jak to vidí  </sp><sp num=02 prekryv=ne>  jako"
"08A054N,M,V,B,středočeská";"kompletně celý . celou vládu .   než se chopil .";"Paroubek";"eee v roce dva tisíce . eee šest pět ."
"10A056N,Z,V,B,slezská";"Paroubka jo .  </sp><sp num=01 prekryv=ne>  ty přestaň --- co máš pořád s";"Paroubkem";"já . fak nechápu ..   tvoje .. tvoje názory .."
"09A125N,Z,V,B,středočeská";"šedá myš holohlavá . eee v če* eee jo pod";"Paroubkem";"velikej z* zapálenej . socan jo .   koupil si v"
"08A110N,M,I,A,středočeská";"dobře ne najde si ženskou rozvede se .   jako třeba";"Topolánek";". má jinou ženckou  </sp><sp num=00 prekryv=ano>  no ale mezi tim jiná ženská"
"09A228N,M,V,B,východomoravská";"té vlády víš   na jaro . Klaus  </sp><sp num=02 prekryv=ne>  mmm  </sp><sp num=01 prekryv=ne>  tak a";"Topolánek";"mu to teďka vyloženě vyčtl .   že ho tam prorvali"
"08A054N,M,V,B,středočeská";"kej . ale . z praktických . důvodů to nechá";"Paroubek";"probíhat   až do toho června ale chce mít už v"
